index,c1D,c2D,tot_c2D,f1D,f2D,area,mass,n_frags,lat_min,lat_max,lon_min,lon_max,drag,heat_flux,heat_flux_CT,heat_flux_TR,heat_flux_FM,density
source_0829_133953_300_201,2.9499015137106062e-06,0.0,0.0,2.889625517865646e-06,0.0,23.68248997936912,216.2660941354306,18,-54.994006363906394,-40.74803835151755,-117.5010809017534,-112.3653039018586,1.0,1.0,0.7934529576797417,0.8964596743580215,0.9815606815097834,0.8040494104215292
source_0829_133953_300_202,1.5133724502856721e-05,0.0,0.0,1.4832255860852683e-05,0.0,18.759570589384353,150.24301975506606,13,-52.57803547829218,-38.18105082943078,-116.4362615390878,-111.6485365272231,1.0,1.0,1.0875912617069936,0.8371044406548412,1.0549967458622753,1.072737437634599
source_0829_133953_300_203,1.2814164722579745e-05,0.0,0.0,9.25719594924157e-06,0.0,17.163580639699056,125.7691877760805,12,-54.74064208455223,-38.68673209160889,-117.38496633798418,-111.7883190464788,1.0,1.0,1.1815344682496027,0.8723246321183461,0.9216677921807402,0.8183139617061438
source_0829_133953_300_204,4.733627029670851e-06,0.0,0.0,4.078198953205714e-06,0.0,17.163580639699056,143.11380597474314,12,-53.984052645741265,-38.39787535402435,-117.04262626643349,-111.70855421669918,1.0,1.0,1.114574344777307,1.1415226828821137,1.0724372677966953,0.903098542800298
source_0829_133953_300_205,2.2155748004976866e-06,0.0,0.0,2.1472470375094588e-06,0.0,20.921848573623517,170.68544182109514,15,-53.96515835330287,-39.417608454749825,-117.0342397616992,-111.9887282362772,1.0,1.0,0.923895841469864,1.1355605618005504,0.9844150873693266,0.9051171066929281
source_0829_133953_300_206,1.1060189888084087e-05,0.0,0.0,1.0991284316141936e-05,0.0,18.759570589384353,149.00542847948267,13,-54.006794197198026,-38.69718693939107,-117.05272980524164,-111.79014541116308,1.0,1.0,1.0534460214956336,1.1936664183075187,0.9246223852389287,0.9006783772846917
source_0829_133953_300_207,2.1009393353244866e-06,0.0,0.0,1.893563380983565e-06,0.0,27.28186131815145,255.19193946022213,22,-52.62612217268382,-39.4589427903563,-116.45642787970503,-111.99852183593013,1.0,1.0,0.7116448161033667,1.3820292802382925,1.043166982064334,1.0662262724194704
source_0829_133953_300_208,1.815014408330104e-06,0.0,0.0,1.7574628331518127e-06,0.0,19.903104111114015,161.92038434373075,14,-53.73852775159427,-39.24147693533164,-116.9341628737698,-111.93980905988629,1.0,1.0,0.9903358573741842,0.8302258759609149,0.9783331121939757,0.9298346807069403
source_0829_133953_300_209,8.953130743527926e-06,0.0,0.0,8.880792856325037e-06,0.0,18.759570589384353,157.7624905643848,13,-52.822440852114816,-38.591564244842786,-116.53916295088798,-111.76027089715741,1.0,1.0,1.0311864292577377,0.8266809947779581,0.9507217104627861,1.0401865354271185
source_0829_133953_300_21,4.764215078463755e-06,0.0,0.0,4.7224255885769395e-06,0.0,18.759570589384353,152.37533035584127,13,-54.295979653763574,-38.89888858053844,-117.18207493943534,-111.84560808477275,1.0,1.0,1.0093728308937187,1.3806496168257767,0.9254511202016172,0.8707049472892822
source_0829_133953_300_210,1.6419271817860663e-05,0.0,0.0,1.0608064269113093e-05,0.0,15.12956827694223,111.62526588465698,9,-52.96959778241456,-37.94889344090269,-116.60262955537158,-111.58662820849115,1.0,1.0,1.230827132431592,0.5950145596685856,0.9014266323660131,1.0040794334082506
source_0829_133953_300_211,1.8041614557804812e-06,0.0,0.0,1.5618368707226438e-06,0.0,26.394535880289972,231.2585398675107,21,-53.03464759218704,-39.55601130741866,-116.62933997402932,-112.0260809988316,1.0,1.0,0.7631971000842982,1.2747205850148486,1.0731017980604642,1.013032443073019
